"V1","V2","V3","V4","V5","V6","V7"
1e-04,0,5970.56651139951,1490.64221628076,372.660554074202,42.5468851330239,42.5468851330239
0.000104081632653061,0,5736.42665691552,1634.10877071819,408.527192680117,48.5455482900713,48.5455482900713
0.000108163265306122,0,5519.95772758524,1765.94401233839,441.486003084681,54.5194007328469,54.5194007328469
0.000112244897959184,0,5319.2319921897,1887.47118655241,471.867796638115,60.4701844625713,60.4701844625713
0.000116326530612245,0,5132.59227318668,1999.8227001106,499.955675027652,66.3994715205604,66.3994715205604
0.000120408163265306,0,4958.60609443724,2103.97308414353,525.993271035883,72.308685178064,72.308685178064
0.000124489795918367,0,4796.02884543945,2200.76538349947,550.191345874866,78.1991179852621,78.1991179852621
0.000128571428571429,0,4643.77396145716,2290.93244710551,572.733111776376,84.0719471660347,84.0719471660347
0.00013265306122449,0,4500.88860879689,2375.11422956127,593.778557390318,89.9282478082618,89.9282478082618
0.000136734693877551,0,4366.53372495218,2453.87194690585,613.467986726462,95.7690042186,95.7690042186
0.000140816326530612,0,4239.96753002602,2527.69973229218,631.924933073045,101.595119741111,101.595119741111
0.000144897959183673,0,4120.53182495486,2597.03429043947,649.258572609868,107.407425283508,107.407425283508
0.000148979591836735,0,4007.64054207938,2662.26293935406,665.565734838515,113.20668675065,113.20668675065
0.000153061224489796,0,3900.77012762393,2723.73034412502,680.932586031255,118.993611549663,118.993611549663
0.000157142857142857,0,3799.45142301032,2781.74418363414,695.436045908535,124.768854302845,124.768854302845
0.000161224489795918,0,3703.26277938982,2836.57994174636,709.144985436591,130.533021881635,130.533021881635
0.00016530612244898,0,3611.82419224439,2888.48497631362,722.121244078405,136.286677856441,136.286677856441
0.000169387755102041,0,3524.79228399754,2937.68198945376,734.42049736344,142.030346441945,142.030346441945
0.000173469387755102,0,3441.8559949623,2984.37199907558,746.092999768896,147.764516005104,147.764516005104
0.000177551020408163,0,3362.73286864133,3028.7368930331,757.184223258276,153.489642192803,153.489642192803
0.000181632653061224,0,3287.16583788534,3070.94163249773,767.735408124433,159.20615072762,159.20615072762
0.000185714285714286,0,3214.92043485489,3111.13615929566,777.784039823914,164.914439913104,164.914439913104
0.000189795918367347,0,3145.78236098705,3149.4570524297,787.364263107425,170.614882884029,170.614882884029
0.000193877551020408,0,3079.55536391363,3186.02897129933,796.507242824833,176.307829632147,176.307829632147
0.000197959183673469,0,3016.05937702882,3220.96591687061,805.241479217652,181.993608833761,181.993608833761
0.000202040816326531,0,2955.12888456359,3254.37233693567,813.593084233917,187.672529501916,187.672529501916
0.000206122448979592,0,2896.61148090886,3286.34409740948,821.586024352371,193.344882482977,193.344882482977
0.000210204081632653,0,2840.36659778442,3316.9693381594,829.24233453985,199.010941814846,199.010941814846
0.000214285714285714,0,2786.26437687424,3346.32922900911,836.582307252278,204.670965961821,204.670965961821
0.000218367346938776,0,2734.18466889528,3374.49863918945,843.624659797362,210.325198939304,210.325198939304
0.000222448979591837,0,2684.01614286051,3401.54673153498,850.386682883744,215.973871339874,215.973871339874
0.000226530612244898,0,2635.65549163779,3427.53749107504,856.884372768761,221.61720127091,221.61720127091
0.000230612244897959,0,2589.00672187429,3452.53019628357,863.132549070893,227.25539521272,227.25539521272
0.00023469387755102,0,2543.98051801561,3476.57984008653,869.144960021633,232.8886488051,232.8886488051
0.000238775510204082,0,2500.4936715538,3499.7375067419,874.934376685476,238.517147569331,238.517147569331
0.000242857142857143,0,2458.46856783021,3522.05070987342,880.512677468355,244.141067571845,244.141067571845
0.000246938775510204,0,2417.83272373384,3543.56369623131,885.890924057828,249.760576035102,249.760576035102
0.000251020408163265,0,2378.5183705024,3564.31771914983,891.079429787459,255.375831900602,255.375831900602
0.000255102040816326,0,2340.46207657436,3584.35128515609,896.087821289024,260.986986348444,260.986986348444
0.000259183673469388,0,2303.60440607713,3603.70037674314,900.925094185785,266.594183277377,266.594183277377
0.000263265306122449,0,2267.88960908369,3622.39865394107,905.599663485267,272.197559748858,272.197559748858
0.00026734693877551,0,2233.26534024271,3640.47763699357,910.119409248393,277.797246398295,277.797246398295
0.000271428571428571,0,2199.68240279545,3657.96687216559,914.491718041398,283.393367816335,283.393367816335
0.000275510204081633,0,2167.09451534663,3674.89408246401,918.723520616002,288.986042902729,288.986042902729
0.000279591836734694,0,2135.4580990642,3691.28530484215,922.821326210538,294.575385195127,294.575385195127
0.000283673469387755,0,2104.73208325033,3707.16501527524,926.791253818809,300.161503174853,300.161503174853
0.000287755102040816,0,2074.87772745954,3722.55624293399,930.639060733499,305.744500551587,305.744500551587
0.000291836734693878,0,2045.85845854402,3737.48067454444,934.37016863611,311.324476528626,311.324476528626
0.000295918367346939,0,2017.6397211848,3751.95874989961,937.989687474904,316.901526050315,316.901526050315
3e-04,0,1990.18884062446,3766.0097493825,941.502437345624,322.475740033024,322.475740033024
1e-04,0.0408163265306122,6240.56780570099,1324.13083868326,331.03270975509,37.7942098620241,37.7942098620241
0.000104081632653061,0.0408163265306122,5975.88351040374,1487.37409935085,371.843524846969,44.1864046782737,44.1864046782737
0.000108163265306122,0.0408163265306122,5735.22559379704,1634.8424122448,408.710603062324,50.4719447631665,50.4719447631665
0.000112244897959184,0.0408163265306122,5514.74048794643,1769.1116322888,442.277908072344,56.67821978265,56.67821978265
0.000116326530612245,0.0408163265306122,5311.58974298095,1892.08401585081,473.021003962721,62.8222585526206,62.8222585526206
0.000120408163265306,0.0408163265306122,5123.56471885803,2005.24076367407,501.31019091852,68.9154838431899,68.9154838431899
