Study,study_long,Chemical,eec,eec_source,Class,Pathway,Species,Type,Response,parameter,rfx
Rohr2008_atrazine,Rohr et al 2008b,Atrazine,102,https://doi:10.1038/s41467-018-03189-w,Herbicide,direct larvae,Echinistoma trivolvis,cercariae,mortality,piC,piC_atr201_rohr08_ts_uncertainty
Rohr2008_atrazine,Rohr et al 2008b,Carbaryl,33.5,https://doi.org/10.1645/GE-2078.1,Insecticide,direct larvae,Echinistoma trivolvis,cercariae,mortality,piC,piC_carb33.5_rohr08_ts_uncertainty
Rohr2008_atrazine,Rohr et al 2008b,Malathion,18.4,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,direct larvae,Echinistoma trivolvis,cercariae,mortality,piC,piC_mal9.6_rohr08_ts_uncertainty
Rohr2008_atrazine,Rohr et al 2008b,Glyphosate,3700,https://doi.org/10.1645/GE-2078.1,Herbicide,direct larvae,Echinistoma trivolvis,cercariae,mortality,piC,piC_gly3700_rohr08_ts_uncertainty
Sarojini1986,Sarojini et al 1986,Fenitrothion,36.6,https://archive.epa.gov/pesticides/reregistration/web/pdf/0445.pdf,Insecticide,top-down,Macrobrachium lamerii,,mortality,muPq,muPq_fenitrothion_Sarojini86_uncertainty
Satapornvanit2009,Satapornvanit et al 2009,Chlorpyrifos,64,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,top-down,Macrobrachium rosenbergii,,mortality,muPq,muPq_chlor_satapornvanit09_uncertainty
Satapornvanit2009,Satapornvanit et al 2009,Dimethoate,33.4,https://archive.epa.gov/pesticides/reregistration/web/pdf/dimethoate_red.pdf,Insecticide,top-down,Macrobrachium rosenbergii,,mortality,muPq,muPq_dim_satapornvanit09_uncertainty
Satapornvanit2009,Satapornvanit et al 2009,Profenofos,15.38,https://doi.org/10.1016/j.agwat.2012.01.009,Insecticide,top-down,Macrobrachium rosenbergii,,mortality,muPq,muPq_prof_satapornvanit09_uncertainty
Satapornvanit2009,Satapornvanit et al 2009,Chlorpyrifos,64,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,top-down,Macrobrachium rosenbergii,,attack rate,psiq,psiq_chlor_satapornvanit09_uncertainty
Shukla1985,Omran & Shukla 1985,Quinalphos,4,https://pubs.acs.org/doi/pdf/10.1021/es00174a001,Insecticide,top-down,Macrobrachium lamerii,,mortality,muPq,muPq_quin_shukla85_uncertainty
