"beta","lamda1","lamda2","p","negLL","lamda.twa","R0","prob"
1.63450254625936e-05,3.66589721757628e-06,0.000245138465992994,0.000642344759388402,7.35038539001857,9.26936624731597e-05,3.6018500274466,0.00290700883927267
2.2883035647631e-05,1.83294860878814e-06,0.000122569232996497,2.60063827715201e-07,15.1623387448466,4.63468312365798e-05,3.01352393953524,1.17695028237328e-06
2.45175381938904e-05,1.83294860878814e-06,0.000122569232996497,3.03136874019471e-07,15.0090814039989,4.63468312365798e-05,3.11929362439043,1.37188255902193e-06
1.96140305551123e-05,2.19953833054577e-06,0.000122569232996497,2.65614238782499e-07,15.1412208109072,4.65782641417299e-05,2.79693824522366,1.202069338454e-06
2.12485331013716e-05,2.19953833054577e-06,0.000122569232996497,3.28765386888929e-07,14.9279214503248,4.65782641417299e-05,2.91114562384428,1.48786749134996e-06
2.2883035647631e-05,2.19953833054577e-06,0.000122569232996497,3.93292393129373e-07,14.7487124988364,4.65782641417299e-05,3.02103858612574,1.77989225651092e-06
2.45175381938904e-05,2.19953833054577e-06,0.000122569232996497,4.58085509252896e-07,14.5962099688332,4.65782641417299e-05,3.12707202259454,2.07312133410851e-06
1.79795280088529e-05,2.5661280523034e-06,0.000122569232996497,3.0053697166186e-07,15.0176950567227,4.68096970468799e-05,2.68450898914576,1.36011638669102e-06
1.96140305551123e-05,2.5661280523034e-06,0.000122569232996497,3.88056089345251e-07,14.7621159476028,4.68096970468799e-05,2.80387819333497,1.7561947309017e-06
2.12485331013716e-05,2.5661280523034e-06,0.000122569232996497,4.79365133561175e-07,14.5508032469169,4.68096970468799e-05,2.91836895085496,2.16942484566742e-06
2.2883035647631e-05,2.5661280523034e-06,0.000122569232996497,5.72387245698272e-07,14.3734500716607,4.68096970468799e-05,3.0285345868207,2.59040765634346e-06
2.45175381938904e-05,2.5661280523034e-06,0.000122569232996497,6.65538813962895e-07,14.2226688778024,4.68096970468799e-05,3.13483112046314,3.01197633637006e-06
