"","beta","lamda1","lamda2","lamda.twa","R0","snail.prev","W1","W2","W3","W4","likelihood_range1","likelihood_range2","likelihood_range3","likelihood_range4","likelihood_range234","likelihood_range1234"
"61",4e-06,5e-05,7e-05,5.73400673400673e-05,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,2.12947957957218,1.51135110497379,1.80749102199551e-91,0.166539966132017,2.26493479049589e-07,0.000106061413704835,26.2445619010937,7.23115607266991e-103
"62",4e-06,5e-05,8e-05,6.1010101010101e-05,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,2.47923295109525,1.56398926832913,1.80749102199551e-91,0.166539966132017,2.76640837940263e-07,0.000137642580503701,25.7839159765614,1.14620874690554e-102
"63",4e-06,5e-05,9e-05,6.46801346801347e-05,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,2.8386775181783,1.61734553681532,1.80749102199551e-91,0.166539966132017,3.39185614787112e-07,0.000178516316385894,25.3200688572987,1.82267804633293e-102
"64",4e-06,5e-05,1e-04,6.83501683501684e-05,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,3.20776081213365,1.67138672553862,1.80749102199551e-91,0.166539966132017,4.17393004719236e-07,0.000231307901844663,24.8535183897162,2.90623183837473e-102
"65",4e-06,5e-05,2e-04,0.000105050505050505,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,7.42224885744609,2.24220573161154,1.80749102199551e-91,0.166539966132017,3.91667558906062e-06,0.00274273141758154,20.1415882769181,3.23366855406684e-100
"66",4e-06,5e-05,3e-04,0.000141750841750842,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,12.5589380499003,2.84686149320629,1.80749102199551e-91,0.166539966132017,4.33956854403652e-05,0.0222739248281248,15.6420090720411,2.90963105194345e-98
"67",4e-06,5e-05,4e-04,0.000178451178451178,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,18.5447908451308,3.46060160019795,1.80749102199551e-91,0.166539966132017,0.000456825158542996,0.107437350371058,11.7145771756034,1.47740622165283e-96
"68",4e-06,5e-05,5e-04,0.000215151515151515,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,25.2788753238201,4.06759957240034,1.80749102199551e-91,0.166539966132017,0.00362317028000425,0.294622163571963,8.63498737500593,3.21328155078835e-95
"69",4e-06,5e-05,6e-04,0.000251851851851852,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,32.6505642126542,4.65976541513274,1.80749102199551e-91,0.166539966132017,0.0173451795919628,0.466484221359414,6.60949168876455,2.43562475902197e-94
"70",4e-06,5e-05,7e-04,0.000288552188552189,1.3086478677269,6.25623349752343,13.5365651517224,0.973643114282168,40.5534671400339,5.23427264919537,1.80749102199551e-91,0.166539966132017,0.041200269589393,0.444024526008387,5.79370592007102,5.50682959725074e-94
"71",4e-06,6e-05,7e-05,6.36700336700337e-05,1.43355191397012,8.52449019326331,21.5008107751037,1.710396480381,3.10452133835663,2.6537586823743,3.22600303447545e-256,1.05441559855758e-05,3.93931487902479e-07,0.0121004320065382,30.6215417418757,1.62142985642468e-269
"72",4e-06,6e-05,8e-05,6.73400673400673e-05,1.43355191397012,8.52449019326331,21.5008107751037,1.710396480381,3.59263246563336,2.72064914595294,3.22600303447545e-256,1.05441559855758e-05,5.17199392128011e-07,0.0150419336439858,30.1316895538701,2.6462950710998e-269
"73",4e-06,6e-05,9e-05,7.1010101010101e-05,1.43355191397012,8.52449019326331,21.5008107751037,1.710396480381,4.09075774801125,2.78785005995154,3.22600303447545e-256,1.05441559855758e-05,6.80585898479971e-07,0.0185931901576938,29.645210466735,4.30440820926067e-269
"74",4e-06,6e-05,1e-04,7.46801346801347e-05,1.43355191397012,8.52449019326331,21.5008107751037,1.710396480381,4.59877082661806,2.85532568017703,3.22600303447545e-256,1.05441559855758e-05,8.97383785665552e-07,0.0228488737705559,29.1625744490264,6.97460489503401e-269
"75",4e-06,6e-05,2e-04,0.000111380471380471,1.43355191397012,8.52449019326331,21.5008107751037,1.710396480381,10.1984975698418,3.53824277442127,3.22600303447545e-256,1.05441559855758e-05,1.50190494617295e-05,0.12600294417227,24.6375799908636,6.43724048652509e-267
"76",4e-06,6e-05,3e-04,0.000148080808080808,1.43355191397012,8.52449019326331,21.5008107751037,1.710396480381,16.6620610114819,4.21892922825139,3.22600303447545e-256,1.05441559855758e-05,0.000229519377244458,0.348073183969264,20.8948044086826,2.7174810008936e-265
"77",4e-06,6e-05,4e-04,0.000184781144781145,1.43355191397012,8.52449019326331,21.5008107751037,1.710396480381,23.8648641491142,4.88216177399706,3.22600303447545e-256,1.05441559855758e-05,0.00246756709260042,0.484915448455624,18.1882421193704,4.07016095320861e-264
"78",4e-06,6e-05,5e-04,0.000221481481481481,1.43355191397012,8.52449019326331,21.5008107751037,1.710396480381,31.6830235606758,5.52169074714234,3.22600303447545e-256,1.05441559855758e-05,0.0147250017031531,0.360746355012835,16.6977274056116,1.80689908922259e-263
"79",4e-06,6e-05,6e-04,0.000258181818181818,1.43355191397012,8.52449019326331,21.5008107751037,1.710396480381,40.0049117450106,6.13663590306312,3.22600303447545e-256,1.05441559855758e-05,0.0398685507951467,0.153520282509241,16.5560288401131,2.08196202671908e-263
"80",4e-06,6e-05,7e-04,0.000294882154882155,1.43355191397012,8.52449019326331,21.5008107751037,1.710396480381,48.7360570310207,6.72877838012043,3.22600303447545e-256,1.05441559855758e-05,0.0415538218451913,0.0397702401562381,17.8653409477671,5.62141671422178e-264
