Treatment,Dose,Time,Death,Replicate
Cont_H20,0,0,0,2
Cont_H20,0,0,0,2
Cont_H20,0,0,0,2
Cont_H20,0,0,0,2
Cont_H20,0,0,0,2
Cont_H20,0,48,1,2
Esfen,0.02,0,0,2
Esfen,0.02,0,0,2
Esfen,0.02,0,0,2
Esfen,0.02,0,0,2
Esfen,0.02,0,0,2
Esfen,0.2,0,0,2
Esfen,0.2,0,0,2
Esfen,0.2,0,0,2
Esfen,0.2,0,0,2
Esfen,0.2,0,0,2
Esfen,1,3,1,2
Esfen,1,3,1,2
Esfen,1,3,1,2
Esfen,1,3,1,2
Esfen,1,3,1,2
Esfen,2,3,1,2
Esfen,2,3,1,2
Esfen,2,3,1,2
Esfen,2,3,1,2
Esfen,2,12,1,2
Esfen,20,3,1,2
Esfen,20,3,1,2
Esfen,20,3,1,2
Esfen,20,3,1,2
Esfen,20,3,1,2
Lamda,0.03,0,0,2
Lamda,0.03,0,0,2
Lamda,0.03,0,0,2
Lamda,0.03,0,0,2
Lamda,0.03,0,0,2
Lamda,0.13,0,0,2
Lamda,0.13,0,0,2
Lamda,0.13,0,0,2
Lamda,0.13,0,0,2
Lamda,0.13,0,0,2
Lamda,0.26,0,0,2
Lamda,0.26,0,0,2
Lamda,0.26,0,0,2
Lamda,0.26,0,0,2
Lamda,0.26,0,0,2
Lamda,1.3,0,0,2
Lamda,1.3,3,1,2
Lamda,1.3,3,1,2
Lamda,1.3,12,1,2
Lamda,1.3,12,1,2
Lamda,5,3,1,2
Lamda,5,3,1,2
Lamda,5,3,1,2
Lamda,5,3,1,2
Lamda,5,3,1,2
Mal,10.1,0,0,2
Mal,10.1,0,0,2
Mal,10.1,0,0,2
Mal,10.1,0,0,2
Mal,10.1,0,0,2
Mal,101,0,0,2
Mal,101,0,0,2
Mal,101,0,0,2
Mal,101,0,0,2
Mal,101,0,0,2
Mal,1010,0,0,2
Mal,1010,0,0,2
Mal,1010,0,0,2
Mal,1010,0,0,2
Mal,1010,0,0,2
Mal,10100,24,1,2
Mal,10100,24,1,2
Mal,10100,24,1,2
Mal,10100,48,1,2
Mal,10100,96,1,2
Mal,101000,3,1,2
