Tank,Treat1,Treat2,Treat3,At,Ch,Fe,AC,AF,CF,ACF,A2,C2,F2,Block,Logger,Temp0,Temp1,Temp2,Temp4,Light0,Light1,Light2,Light4,Ph.F0.0,Ph.F0.1,Ph.QY.1,Ph.QY.1,Ph.F0.2,Ph.QY.2,Ph.F0.4,Ph.QY.4,Ph.F0.8,Ph.QY.8,Pe.F0.0,Pe.QY.0,Pe.F0.1,Pe.QY.1,Pe.F0.2,Pe.QY.2,Pe.F0.4,Pe.QY.4,Pe.F0.8,Pe.QY.8,TBgegg1,TBghatch1,TBgadult1,TBtegg1,TBthatch1,TBtadult1,TPhyegg1,TPhyhatch1,TPhyadult1,TBgegg2,TBghatch2,TBgadult2,TBtegg2,TBthatch2,TBtadult2,TPhyegg2,TPhyhatch2,TPhyadult2,TBgegg3,TBghatch3,TBgadult3,TBtegg3,TBthatch3,TBtadult3,TPhyegg3,TPhyhatch3,TPhyadult3,TBgegg4,TBghatch4,TBgadult4,TBtegg4,TBthatch4,TBtadult4,TPhyegg4,TPhyhatch4,TPhyadult4,TBgegg8,TBghatch8,TBgadult8,TBtegg8,TBthatch8,TBtadult8,TPhyegg8,TPhyhatch8,TPhyadult8,TBgE,TBgE,TBgH,TBgRepro,TBtE,TBtH,TBtRepro,TPhyE,TPhyH,TPhyRepro,TSnE,TSnH,TSnRepro,BgLive,BgInf,T.Bg,BtLive,BtInf,T.Bt,PhyLive,T.Phy,T.Snails,Snails.Live,P.all.24,P.all.24.surv,B.flu.24,B.flu.24.surv,P.all.end.surv,P.all.end,B.flu.end.surv,B.flu.end,Pred,PredSurv,Phyto,PerF0,PerQY,Snails,Algae
12,F + C,F + C,F + C,0,1,1,0,0,1,0,0,1,1,1,12,31.268,29.47251613,31,30.78819355,1297,489,516.8,1948.387097,25,62,0,-4.003022834,118,0.042,366,0.3418,657,0.4098,7878,0.327,7594,0.3717,10866,0.2847,4517,0.3387,1780,0.3375,4,0,0,3,0,0,7,0,1,8,1,0,14,0,0,8,4,2,11,0,0,12,7,0,17,38,6,4,2,0,27,33,0,11,90,0,1,3,0,1,13,0,0,7,0,28,3.36729583,6,34,57,53,110,43,139,182,128,198,326,311,0,358,66,0,94,78,886,1338,455,2,1,1,6,0,3,0,7,1.045232148,-1.045232148,0.227277385,0.324782481,-0.03350645,0.201732796,0.138682758
13,A + F,A + F,A + F,1,0,1,0,1,0,0,1,0,1,1,13,31.08125,29.68503226,31.5,30.31580645,1216,1158,1601.1,1188.129032,45,122,0,-4.003022834,133,0.1622,135,0.2756,370,0.5279,6275,0.5855,15124,0.264,17178,0.0963,22801,0.5954,4277,0.4374,0,0,0,1,0,0,5,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,7,14,0,0,0,1,1,10,0,10,14,14,28,24,15,39,0,0,6,0,0,0,196,208,214,196,0,3,0,7,3,0,0,7,0.035766259,-0.035766259,0.284328361,0.719786557,0.074076986,0.032207592,0.261918359
14,F + C,F + C,F + C,0,1,1,0,0,1,0,0,1,1,2,1,31.75183871,30.013625,30.8,31.54018182,1468,1323,390.3,2148.848485,24,107,0.2368,-1.11876801,149,0.3625,147,0.284,118,0,9359,0.3851,9997,0.2842,7360,0.1632,6866,0.3341,9015,0.4447,8,0,0,4,0,0,5,0,0,7,0,0,5,1,0,7,1,0,3,0,0,5,1,0,2,5,0,2,4,0,4,2,0,10,100,0,0,1,0,1,5,0,2,28,10,20,3.044522438,5,25,19,9,28,26,134,160,65,148,213,215,4,225,156,3,157,774,1455,1837,1145,1,2,2,5,0,3,0,7,1.045054869,-1.045054869,0.345131384,0.316805567,-0.051388118,0.174951455,0.091260688
15,F 1x,F 1x,Fertilizer,0,0,1,0,0,0,0,0,0,1,2,2,32.12890323,30.159275,30.5,30.69339394,1011,1626,393,593.4545455,60,81,0,-4.003022834,70,0,62,0,206,0.2746,9174,0.4014,6062,0.3668,10926,0.0774,11245,0.2949,5748,0.4215,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,7,1,2,0,7,0.000785909,-0.000785909,0.055419155,0.328188853,-0.063009239,0.010185623,0.105276346
16,A + F,A + F,A + F,1,0,1,0,1,0,0,1,0,1,2,3,32.01290323,29.97595,30.7,30.29630303,1842,1122,565,365.4242424,125,79,0,-4.003022834,98,0.073,92,0.2105,162,0.3563,6777,0.3621,17229,0.3314,11425,0.1127,22053,0.4866,4610,0.3232,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,6,1.945910149,0,6,0,0,0,3,3,6,9,3,12,19,0,20,0,0,0,9,14,34,28,0,3,0,7,3,0,1,6,0.023594388,-0.023594388,0.181449952,0.71652324,0.055859417,0.022198324,0.244194817
17,C 1x,C 1x,Chlorpyrifos,0,1,0,0,0,0,0,0,1,0,2,4,32.12548387,30.383775,31.2,31.52221212,1361,1818,1464,1762.424242,287,102,0.4156,-0.328411939,57,0,39,0,93,0.4118,6646,0.3883,9004,0.3066,10707,0.0978,10818,0.3452,7259,0.43,0,0,0,2,0,1,0,0,0,1,0,0,3,0,1,1,0,0,2,1,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,1,3,0,4,1.609437912,1,5,13,1,14,2,3,5,19,5,24,14,0,14,114,0,119,443,556,689,571,3,0,1,6,0,3,0,7,1.020520424,-1.020520424,-0.059156055,0.103569374,-0.007008963,0.136941865,-0.063332792
18,W,Control,Control,0,0,0,0,0,0,0,0,0,0,2,5,32.07916129,30.197225,31,31.60878788,1643,1541,516.5,1653.333333,72,56,0,-4.003022834,65,0.1811,100,0,306,0.3891,9410,0.3503,6799,0.3054,6183,0.0876,8538,0.326,1112,0.3886,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,1,6,7,1,8,0,0,5,0,0,0,0,1,6,0,0,3,0,7,3,0,0,7,0.035766259,-0.035766259,0.056424747,0.02456164,-0.005584556,-0.00960162,-0.017050587
20,F 2x,F 2x,Fertilizer,0,0,1,0,0,0,0,0,0,2,2,7,31.54116129,29.920625,30.6,30.79451515,804,1241,1036.9,536.4848485,34,74,0,-4.003022834,134,0.1647,62,0,98,0,10125,0.5531,15982,0.311,11864,0.0345,7616,0.2121,10004,0.3586,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.609437912,0,4,4,0,4,0,0,0,8,0,8,0,0,18,0,0,0,0,23,41,0,0,3,0,7,0,3,0,7,-0.008374028,0.008374028,0.248969148,0.416657068,-0.106837729,0.005732028,0.097390306
21,C 2x,C 2x,Chlorpyrifos,0,1,0,0,0,0,0,0,2,0,2,8,32.08567742,30.09155,31,31.34472727,1947,1211,957.9,928.4848485,28,94,0,-4.003022834,108,0.2856,48,0,224,0.584,7705,0.4114,8660,0.3532,2625,0.1281,3158,0.4832,7683,0.5118,0,0,1,0,0,1,2,0,0,8,0,1,0,0,0,2,1,0,6,1,0,0,5,0,2,4,0,5,1,0,1,6,0,2,4,0,1,0,0,1,10,0,0,2,0,20,3.044522438,2,22,2,21,23,8,11,19,30,34,64,117,3,235,504,4,517,381,546,1298,1002,2,1,0,7,0,3,0,7,1.105076155,-1.105076155,0.180321348,-0.083518679,0.038307302,0.171328211,-0.002444441
22,C + A,C + A,C + A,1,1,0,1,0,0,0,1,1,0,2,9,31.28445161,29.870475,30.8,31.18157576,1044,1135,1364.6,1868.606061,55,81,0,-4.003022834,52,0,38,0,90,0,11715,0.4885,5046,0.2507,8490,0.0929,2701,0.4544,9317,0.4374,4,0,0,2,0,1,4,0,0,4,0,0,7,1,0,8,0,0,4,0,0,7,4,0,14,3,0,2,1,0,6,20,0,12,9,0,0,7,0,0,4,0,0,6,0,14,2.708050201,8,22,22,29,51,38,18,56,74,55,129,290,7,324,379,1,393,573,834,1551,1242,2,1,1,6,0,3,0,7,1.045232148,-1.045232148,-0.121613572,-0.234141978,0.100210148,0.22116896,0.22507084
23,S,Control,Control,0,0,0,0,0,0,0,0,0,0,2,10,32.046,30.353525,31,31.17272727,1007,1445,486.2,1351.757576,52,76,0,-4.003022834,82,0,61,0,194,0.3934,10815,0.378,5812,0.3125,7357,0.1187,2029,0.3964,2294,0.3685,10,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2.564949357,0,12,1,0,1,2,1,3,15,1,16,3,0,10,0,0,0,0,0,10,3,0,3,0,7,1,2,0,7,0.000785909,-0.000785909,-0.007990546,-0.03110135,0.008347589,0.002367282,0.004142904
24,A + C + F,A + C + F,A + C + F,1,1,1,1,1,1,1,1,1,1,2,11,32.5836129,30.21,30.9,31.42054545,1293,870,566.2,846.5454545,42,53,0,-4.003022834,108,0.2031,89,0,62,0,5308,0.4182,7891,0.3378,10936,0.3005,5404,0.4527,5024,0.3419,6,0,0,4,0,0,6,0,0,5,0,0,9,0,0,9,8,2,6,0,0,9,17,0,6,15,5,6,0,0,9,12,0,4,22,0,0,1,0,0,13,0,0,16,3,23,3.17805383,1,24,31,42,73,25,61,86,79,104,183,29,2,36,279,0,280,411,905,1221,719,3,0,1,6,0,3,0,7,1.020520424,-1.020520424,0.193920457,0.577497188,0.075564954,0.209540229,0.270154908
